topology,N=2,N=3,N=4,N=5,N=6
GHZ,+1.500,+1.000,+0.750,+0.600,+0.500
ring,+1.500,+1.000,+0.000,+0.600,+0.500
star,+1.500,+1.000,+0.750*,+0.600*,+0.463*
full,+1.500,+1.000,+0.750,+0.600,+0.500
W,+0.750,+0.500,+0.375,+0.300,+0.250
