N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
4,fully-connected,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,fully-connected,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.6996431528137084,False,True,0.9496431528137084,0.25,"[0.6996431528137084, 0.6996431528137083, 0.6996431528137084, 0.6996431528137081]","[0.9496431528137084, 0.9496431528137083, 0.9496431528137084, 0.9496431528137081]",fixed,,,,
4,fully-connected,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.40484903468629324,False,True,0.654849034686293,0.24999999999999972,"[0.40484903468629324, 0.40484903468629313, 0.40484903468629324, 0.40484903468629324]","[0.654849034686293, 0.6548490346862929, 0.654849034686293, 0.654849034686293]",fixed,,,,
4,fully-connected,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.4048490346862934,False,True,0.6548490346862934,0.25,"[0.4048490346862934, 0.4048490346862934, 0.4048490346862934, 0.4048490346862934]","[0.6548490346862934, 0.6548490346862934, 0.6548490346862934, 0.6548490346862934]",fixed,,,,
4,fully-connected,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.6996431528137075,False,True,0.9496431528137075,0.25,"[0.6996431528137074, 0.6996431528137076, 0.6996431528137077, 0.6996431528137077]","[0.9496431528137074, 0.9496431528137076, 0.9496431528137077, 0.9496431528137077]",fixed,,,,
4,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.75,False,True,1.0,0.24999999999999994,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.7251940108703361,False,True,0.9751940108703361,0.25,"[0.7251940108703361, 0.7251940108703361, 0.7251940108703361, 0.7251940108703361]","[0.9751940108703361, 0.9751940108703361, 0.9751940108703361, 0.9751940108703361]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.5049391088561785,False,True,0.7549391088561783,0.24999999999999983,"[0.5049391088561785, 0.5049391088561783, 0.5049391088561785, 0.5049391088561785]","[0.7549391088561783, 0.7549391088561782, 0.7549391088561783, 0.7549391088561783]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.16836067662966536,False,True,0.41836067662966536,0.25,"[0.16836067662966542, 0.16836067662966536, 0.16836067662966536, 0.16836067662966536]","[0.4183606766296654, 0.41836067662966536, 0.41836067662966536, 0.41836067662966536]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.013615578643822235,False,True,0.26361557864382223,0.25,"[0.01361557864382218, 0.013615578643822235, 0.01361557864382218, 0.013615578643822235]","[0.2636155786438222, 0.26361557864382223, 0.2636155786438222, 0.26361557864382223]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.0,False,True,0.25,0.25,"[0.0, 0.0, 0.0, 0.0]","[0.25, 0.25, 0.25, 0.25]",fixed,,,,
4,star,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,star,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.7500000000000009,False,False,1.0000000000000009,0.25,"[1.0022796567773498, 0.665906781074218, 0.665906781074218, 0.665906781074218]","[1.2522796567773498, 0.915906781074218, 0.915906781074218, 0.915906781074218]",fixed,,,,
4,star,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.75,False,False,0.9999999999999999,0.2499999999999999,"[1.3388580890038617, 0.5537139703320462, 0.5537139703320461, 0.553713970332046]","[1.5888580890038617, 0.8037139703320461, 0.803713970332046, 0.8037139703320458]",fixed,,,,
4,star,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.7500000000000007,False,False,1.0000000000000007,0.25,"[1.1070953432226522, 0.6309682189257833, 0.6309682189257833, 0.6309682189257833]","[1.3570953432226522, 0.8809682189257833, 0.8809682189257833, 0.8809682189257833]",fixed,,,,
4,star,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.7500000000000004,False,False,1.0000000000000004,0.25,"[0.3955169109961384, 0.8681610296679545, 0.8681610296679545, 0.8681610296679545]","[0.6455169109961384, 1.1181610296679545, 1.1181610296679545, 1.1181610296679545]",fixed,,,,
4,star,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.7500000000000009,False,False,1.0000000000000009,0.25,"[2.220446049250313e-16, 1.000000000000001, 1.000000000000001, 1.000000000000001]","[0.2500000000000002, 1.250000000000001, 1.250000000000001, 1.250000000000001]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.7316461936106831,False,True,1.0000000000000004,0.2683538063893174,"[0.7316461936106831, 0.7316461936106831, 0.7316461936106831, 0.7316461936106831]","[1.0000000000000004, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.678381372890606,False,True,1.0000000000000004,0.3216186271093945,"[0.678381372890606, 0.678381372890606, 0.678381372890606, 0.678381372890606]","[1.0000000000000004, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004]",fixed,,,,
