N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
2,fully-connected,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,fully-connected,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,fully-connected,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,1.4999999999999996,False,True,1.9999999999999996,0.4999999999999999,"[1.4999999999999996, 1.4999999999999996]","[1.9999999999999996, 1.9999999999999996]",fixed,,,,
2,fully-connected,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,fully-connected,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,1.4999999999999996,False,True,1.9999999999999996,0.4999999999999999,"[1.4999999999999996, 1.4999999999999996]","[1.9999999999999996, 1.9999999999999996]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,1.4999999999999996,False,True,1.9999999999999996,0.4999999999999999,"[1.4999999999999996, 1.4999999999999996]","[1.9999999999999996, 1.9999999999999996]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,star,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,star,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,star,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,1.4999999999999996,False,True,1.9999999999999996,0.4999999999999999,"[1.4999999999999996, 1.4999999999999996]","[1.9999999999999996, 1.9999999999999996]",fixed,,,,
2,star,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,star,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,star,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,1.5,False,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,1.4632923872213657,False,True,2.0000000000000004,0.5367076127786348,"[1.4632923872213657, 1.4632923872213657]","[2.0000000000000004, 2.0000000000000004]",fixed,,,,
