N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,1.398345179123109,True,True,1.9745862947807817,0.5762411156576728,"[1.3983451791231094, 1.3983451791231085]","[1.974586294780782, 1.9745862947807815]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,1.303118719153471,True,True,1.9507796797883712,0.6476609606349002,"[1.303118719153471, 1.303118719153471]","[1.9507796797883712, 1.9507796797883712]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,1.213943533475293,True,True,1.9284858833688276,0.7145423498935346,"[1.2139435334752935, 1.2139435334752924]","[1.9284858833688279, 1.9284858833688272]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,1.1304629122123546,True,True,1.9076157280530905,0.7771528158407358,"[1.130462912212355, 1.1304629122123546]","[1.9076157280530908, 1.9076157280530905]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,1.0523395162521918,True,True,1.888084879063051,0.8357453628108591,"[1.052339516252192, 1.0523395162521916]","[1.888084879063051, 1.888084879063051]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.9792544161909138,True,True,1.8698136040477311,0.8905591878568173,"[0.9792544161909142, 0.9792544161909136]","[1.8698136040477313, 1.8698136040477311]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.9109061744066633,True,True,1.852726543601669,0.9418203691950058,"[0.9109061744066629, 0.9109061744066635]","[1.8527265436016689, 1.852726543601669]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.847009968532672,True,True,1.83675249213317,0.989742523600498,"[0.8470099685326721, 0.8470099685326721]","[1.8367524921331702, 1.83675249213317]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.7872967546617604,True,True,1.8218241886654434,1.034527434003683,"[0.78729675466176, 0.7872967546617606]","[1.8218241886654432, 1.8218241886654436]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.7315124686732963,True,True,1.8078781171683285,1.0763656484950321,"[0.7315124686732963, 0.7315124686732963]","[1.8078781171683285, 1.8078781171683285]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.7500000000000004,False,True,2.0000000000000004,1.25,"[0.7500000000000004, 0.7500000000000004]","[2.0000000000000004, 2.0000000000000004]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.6854989801229481,False,False,1.967299001731416,1.281800021608468,"[0.6879338220820861, 0.6830641381638101]","[1.967067610032758, 1.9675303934300739]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.6262996860889045,False,False,1.9373175612275815,1.311017875138677,"[0.6307248760835094, 0.6218744960942999]","[1.9368700582572713, 1.9377650641978919]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.5719854143928771,False,False,1.9098402237373144,1.3378548093444373,"[0.5780154233593942, 0.56595540542636]","[1.9091940358042605, 1.9104864116703684]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,0.5221708283295161,False,False,1.8846677827813574,1.3624969544518413,"[0.5294723795514638, 0.514869277107568]","[1.8838417171424977, 1.8854938484202168]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,0.4764996904131009,False,False,1.861616114012782,1.3851164235996811,"[0.48478573570142225, 0.4682136451247796]","[1.8606297281660105, 1.8626024998595538]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.43464275285599596,False,False,1.8405150887611517,1.4058723359051557,"[0.44366707251956483, 0.42561843319242687]","[1.8393881760415978, 1.8416420014807053]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.39629579543590165,False,False,1.8212075620707318,1.42491176663483,"[0.4058481628001953, 0.3867434280716082]","[1.8199597376381746, 1.8224553865032889]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.3611778007821935,False,False,1.8035484303655422,1.4423706295833487,"[0.371079657217255, 0.35127594434713205]","[1.8021988034847816, 1.804898057246303]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.329029257766869,False,False,1.7874037541777166,1.4583744964108476,"[0.33912984896511267, 0.3189286665686253]","[1.7859706743277963, 1.788836834027637]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.29961058429906484,False,False,1.7726499416608863,1.4730393573618215,"[0.30978351293110906, 0.28943765566702084]","[1.7711508074789861, 1.7741490758427865]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,1.398345179123109,True,True,1.9745862947807817,0.5762411156576728,"[1.3983451791231094, 1.3983451791231085]","[1.974586294780782, 1.9745862947807815]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,1.303118719153471,True,True,1.9507796797883712,0.6476609606349002,"[1.303118719153471, 1.303118719153471]","[1.9507796797883712, 1.9507796797883712]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,1.213943533475293,True,True,1.9284858833688276,0.7145423498935346,"[1.2139435334752935, 1.2139435334752924]","[1.9284858833688279, 1.9284858833688272]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,1.1304629122123546,True,True,1.9076157280530905,0.7771528158407358,"[1.130462912212355, 1.1304629122123546]","[1.9076157280530908, 1.9076157280530905]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,1.0523395162521918,True,True,1.888084879063051,0.8357453628108591,"[1.052339516252192, 1.0523395162521916]","[1.888084879063051, 1.888084879063051]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.9792544161909138,True,True,1.8698136040477311,0.8905591878568173,"[0.9792544161909142, 0.9792544161909136]","[1.8698136040477313, 1.8698136040477311]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.9109061744066633,True,True,1.852726543601669,0.9418203691950058,"[0.9109061744066629, 0.9109061744066635]","[1.8527265436016689, 1.852726543601669]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.847009968532672,True,True,1.83675249213317,0.989742523600498,"[0.8470099685326721, 0.8470099685326721]","[1.8367524921331702, 1.83675249213317]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.7872967546617604,True,True,1.8218241886654434,1.034527434003683,"[0.78729675466176, 0.7872967546617606]","[1.8218241886654432, 1.8218241886654436]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.7315124686732963,True,True,1.8078781171683285,1.0763656484950321,"[0.7315124686732963, 0.7315124686732963]","[1.8078781171683285, 1.8078781171683285]",fixed,,,,
