N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,0.37177062052977505,False,False,1.814030507878071,1.442259887348296,"[0.37177062052977483, 0.3717706205297753]","[1.8081772672076375, 1.8198837485485044]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.3224495555223412,False,False,1.789424117544057,1.4669745620217158,"[0.3224495555223408, 0.32244955552234167]","[1.7834020339385768, 1.7954462011495376]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.2794835247468821,False,False,1.7679007931147956,1.4884172683679135,"[0.2794835247468819, 0.27948352474688254]","[1.7618814900430415, 1.77392009618655]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.2420779818654204,False,False,1.7490895610064205,1.5070115791410001,"[0.24207798186541996, 0.24207798186542084]","[1.743200159991982, 1.7549789620208591]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.20953467709646012,False,False,1.7326622003357304,1.5231275232392703,"[0.20953467709645968, 0.20953467709646056]","[1.726994149490544, 1.7383302511809167]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.18124035517960868,False,False,1.7183285388521918,1.5370881836725832,"[0.18124035517960868, 0.1812403551796089]","[1.7129449092493658, 1.723712168455018]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,1.3983451791231079,True,True,1.9745862947807762,0.5762411156576683,"[1.3983451791231079, 1.3983451791231079]","[1.9745862947807762, 1.9745862947807762]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,1.3031187191534732,True,True,1.9507796797883736,0.6476609606349004,"[1.303118719153473, 1.3031187191534734]","[1.9507796797883734, 1.9507796797883739]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,1.213943533475291,True,True,1.928485883368824,0.714542349893533,"[1.2139435334752906, 1.2139435334752915]","[1.9284858833688239, 1.9284858833688243]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,1.1304629122123566,True,True,1.907615728053095,0.7771528158407384,"[1.1304629122123566, 1.1304629122123568]","[1.907615728053095, 1.9076157280530952]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,1.0523395162521918,True,True,1.8880848790630496,0.8357453628108578,"[1.0523395162521916, 1.0523395162521918]","[1.8880848790630496, 1.8880848790630496]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.9792544161909176,True,True,1.8698136040477367,0.8905591878568191,"[0.9792544161909174, 0.9792544161909179]","[1.8698136040477364, 1.8698136040477369]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.9109061744066625,True,True,1.8527265436016689,0.9418203691950063,"[0.9109061744066624, 0.9109061744066627]","[1.8527265436016689, 1.8527265436016689]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.8470099685326747,True,True,1.8367524921331762,0.9897425236005014,"[0.8470099685326746, 0.8470099685326746]","[1.8367524921331762, 1.836752492133176]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.7872967546617602,True,True,1.8218241886654432,1.034527434003683,"[0.78729675466176, 0.78729675466176]","[1.821824188665443, 1.8218241886654432]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.731512468673295,True,True,1.807878117168323,1.076365648495028,"[0.731512468673295, 0.731512468673295]","[1.807878117168323, 1.807878117168323]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.0,True,True,1.3333333333333333,0.3333333333333333,"[1.0, 1.0, 1.0]","[1.3333333333333333, 1.3333333333333333, 1.3333333333333333]",fixed,,,,
