N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
5,fully-connected,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,fully-connected,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.6000000000000012,False,True,0.8000000000000013,0.2,"[0.6000000000000014, 0.6000000000000014, 0.6000000000000012, 0.6000000000000012, 0.6000000000000014]","[0.8000000000000014, 0.8000000000000014, 0.8000000000000012, 0.8000000000000012, 0.8000000000000014]",fixed,,,,
5,fully-connected,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.5999999999999992,False,True,0.7999999999999989,0.19999999999999973,"[0.5999999999999992, 0.5999999999999994, 0.5999999999999992, 0.5999999999999992, 0.5999999999999993]","[0.7999999999999989, 0.7999999999999992, 0.7999999999999989, 0.7999999999999989, 0.799999999999999]",fixed,,,,
5,fully-connected,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.6000000000000005,True,True,0.8000000000000005,0.2,"[0.6000000000000003, 0.6000000000000003, 0.6000000000000005, 0.6000000000000005, 0.6000000000000005]","[0.8000000000000004, 0.8000000000000003, 0.8000000000000005, 0.8000000000000005, 0.8000000000000005]",fixed,,,,
5,fully-connected,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.600000000000001,False,True,0.8000000000000009,0.2,"[0.600000000000001, 0.600000000000001, 0.600000000000001, 0.6000000000000008, 0.6000000000000008]","[0.8000000000000009, 0.8000000000000009, 0.800000000000001, 0.8000000000000008, 0.8000000000000007]",fixed,,,,
5,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.600000000000001,False,True,0.800000000000001,0.2,"[0.6000000000000012, 0.6000000000000012, 0.6000000000000012, 0.6000000000000012, 0.6000000000000012]","[0.8000000000000012, 0.8000000000000012, 0.8000000000000013, 0.8000000000000013, 0.8000000000000012]",fixed,,,,
5,ghz,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ghz,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ghz,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.6000000000000001,False,True,0.8,0.19999999999999996,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ghz,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ghz,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ring,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ring,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.600000000000001,False,True,0.800000000000001,0.2,"[0.600000000000001, 0.6000000000000012, 0.6000000000000012, 0.600000000000001, 0.600000000000001]","[0.800000000000001, 0.8000000000000012, 0.8000000000000012, 0.800000000000001, 0.800000000000001]",fixed,,,,
5,ring,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.5999999999999996,False,True,0.7999999999999996,0.19999999999999993,"[0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999996, 0.5999999999999998]","[0.7999999999999996, 0.7999999999999996, 0.7999999999999996, 0.7999999999999996, 0.7999999999999997]",fixed,,,,
5,ring,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.6000000000000003,False,True,0.8000000000000004,0.2,"[0.6000000000000001, 0.6000000000000003, 0.6000000000000003, 0.6000000000000001, 0.6000000000000003]","[0.8000000000000002, 0.8000000000000003, 0.8000000000000004, 0.8000000000000002, 0.8000000000000003]",fixed,,,,
5,ring,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.6000000000000008,False,True,0.8000000000000007,0.2,"[0.6000000000000008, 0.6000000000000008, 0.6000000000000005, 0.6000000000000005, 0.6000000000000005]","[0.8000000000000007, 0.8000000000000007, 0.8000000000000006, 0.8000000000000006, 0.8000000000000006]",fixed,,,,
5,ring,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.600000000000001,False,True,0.8000000000000009,0.2,"[0.600000000000001, 0.6000000000000008, 0.600000000000001, 0.600000000000001, 0.600000000000001]","[0.800000000000001, 0.8000000000000008, 0.8000000000000009, 0.8000000000000009, 0.8000000000000009]",fixed,,,,
5,star,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,star,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.6000000000000008,False,False,0.8000000000000007,0.2,"[0.9465348520466283, 0.513366286988344, 0.513366286988344, 0.513366286988344, 0.5133662869883437]","[1.1465348520466283, 0.713366286988344, 0.7133662869883439, 0.7133662869883439, 0.7133662869883438]",fixed,,,,
5,star,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.5999999999999998,False,False,0.7999999999999996,0.19999999999999987,"[1.2593481844074834, 0.43516295389812865, 0.43516295389812887, 0.43516295389812887, 0.43516295389812876]","[1.4593481844074834, 0.6351629538981285, 0.6351629538981287, 0.6351629538981287, 0.6351629538981286]",fixed,,,,
5,star,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.6000000000000003,False,False,0.8000000000000004,0.2,"[0.7432724315043608, 0.5641818921239103, 0.5641818921239099, 0.5641818921239099, 0.5641818921239101]","[0.9432724315043608, 0.7641818921239103, 0.76418189212391, 0.76418189212391, 0.7641818921239102]",fixed,,,,
5,star,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.6000000000000003,False,False,0.8000000000000004,0.2,"[0.2173489809897038, 0.6956627547525747, 0.6956627547525747, 0.6956627547525744, 0.6956627547525744]","[0.4173489809897038, 0.8956627547525746, 0.8956627547525746, 0.8956627547525745, 0.8956627547525744]",fixed,,,,
5,star,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.600000000000001,False,False,0.800000000000001,0.2,"[0.6863728757031327, 0.578406781074218, 0.5784067810742182, 0.5784067810742182, 0.5784067810742182]","[0.8863728757031327, 0.778406781074218, 0.7784067810742182, 0.7784067810742182, 0.7784067810742181]",fixed,,,,
5,w,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,w,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.5853169548885461,False,True,0.7999999999999999,0.21468304511145386,"[0.5853169548885461, 0.5853169548885461, 0.5853169548885461, 0.5853169548885461, 0.5853169548885461]","[0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999]",fixed,,,,
5,w,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.5427050983124844,False,True,0.8,0.2572949016875157,"[0.5427050983124844, 0.5427050983124844, 0.5427050983124843, 0.5427050983124843, 0.5427050983124844]","[0.8, 0.8, 0.7999999999999999, 0.7999999999999999, 0.8]",fixed,,,,
5,w,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.476335575687742,False,True,0.7999999999999999,0.32366442431225795,"[0.476335575687742, 0.47633557568774193, 0.47633557568774193, 0.47633557568774193, 0.47633557568774193]","[0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999]",fixed,,,,
5,w,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.3927050983124847,False,True,0.8000000000000004,0.4072949016875157,"[0.39270509831248457, 0.39270509831248446, 0.39270509831248446, 0.39270509831248457, 0.39270509831248457]","[0.8000000000000003, 0.8000000000000002, 0.8000000000000002, 0.8000000000000003, 0.8000000000000003]",fixed,,,,
5,w,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.30000000000000004,False,True,0.8,0.5,"[0.29999999999999993, 0.30000000000000016, 0.30000000000000004, 0.30000000000000004, 0.29999999999999993]","[0.8, 0.8000000000000003, 0.8, 0.8, 0.8]",fixed,,,,
